Hour,T
1497,8.2
1498,8.5
1499,9.2
1500,9.5
1501,10.4
1502,11.3
1503,12.3
1504,12.6
1505,12.1
1506,11.9
1507,9.0
1508,7.7
1509,7.9
1510,7.5
1511,7.4
1512,6.5
1513,6.4
1514,4.8
1515,5.3
1516,5.8
1517,4.6
1518,5.9
1519,5.6
1520,5.7
1521,7.6
1522,8.5
1523,9.3
1524,11.1
1525,12.5
1526,13.8
1527,14.3
1528,14.4
1529,13.9
1530,13.4
1531,13.1
1532,12.7
1533,12.7
1534,12.6
1535,11.6
1536,9.2
1537,9.0
1538,8.9
1539,9.1
1540,9.1
1541,8.8
1542,8.7
1543,8.8
1544,8.3
1545,8.2
1546,9.1
1547,8.9
1548,9.3
1549,9.9
1550,9.7
1551,10.1
1552,10.3
1553,10.4
1554,9.2
1555,7.7
1556,5.1
1557,4.3
1558,4.6
1559,4.9
1560,4.3
1561,3.5
1562,3.4
1563,2.9
1564,2.2
1565,2.2
1566,2.7
1567,2.8
1568,2.6
1569,4.6
1570,7.0
1571,9.2
1572,11.0
1573,12.2
1574,13.0
1575,13.7
1576,13.8
1577,13.3
1578,12.0
1579,11.1
1580,10.0
1581,8.6
1582,6.4
1583,5.8
1584,6.0
1585,6.7
1586,7.1
1587,7.2
1588,5.6
1589,5.2
1590,5.0
1591,5.8
1592,4.8
1593,7.5
1594,9.0
1595,9.1
1596,10.2
1597,11.0
1598,11.0
1599,11.6
1600,11.8
1601,10.5
1602,9.6
1603,8.1
1604,7.4
1605,7.0
1606,7.0
1607,7.0
1608,7.1
1609,7.0
1610,6.7
1611,6.7
1612,6.7
1613,6.5
1614,6.3
1615,6.1
1616,6.1
1617,6.5
1618,7.2
1619,7.8
1620,9.3
1621,9.2
1622,9.8
1623,9.5
1624,10.0
1625,9.9
1626,9.4
1627,8.0
1628,5.4
1629,4.4
1630,4.3
1631,2.3
1632,4.2
1633,4.9
1634,4.8
1635,4.9
1636,4.1
1637,4.3
1638,5.0
1639,5.3
1640,5.4
1641,6.1
1642,7.4
1643,8.8
1644,9.8
1645,11.0
1646,11.6
1647,11.9
1648,11.6
1649,11.3
1650,9.5
1651,8.2
1652,8.1
1653,7.6
1654,4.9
1655,4.8
1656,5.1
1657,5.2
1658,4.5
1659,4.9
1660,4.7
1661,3.9
1662,4.2
1663,4.1
1664,4.5
1665,5.4
1666,6.0
1667,6.5
1668,7.1
1669,6.9
1670,7.4
1671,7.4
1672,7.5
1673,7.4
1674,6.7
1675,6.2
1676,5.5
1677,5.7
1678,6.0
1679,6.3
1680,5.8
1681,5.9
1682,6.3
1683,6.4
1684,6.5
1685,6.8
1686,7.2
1687,7.9
1688,8.8
1689,8.9
1690,9.3
1691,9.4
1692,9.2
1693,9.2
1694,9.1
1695,9.0
1696,9.0
1697,9.1
1698,9.2
1699,9.4
1700,9.3
1701,8.9
1702,9.1
1703,9.3
1704,9.1
1705,8.6
1706,8.4
1707,7.9
1708,5.1
1709,8.4
1710,8.5
1711,8.7
1712,8.8
1713,8.7
1714,8.0
1715,8.7
1716,5.7
1717,4.5
1718,4.6
1719,3.5
1720,3.8
1721,4.6
1722,5.4
1723,6.1
1724,5.6
1725,4.6
1726,4.8
1727,5.3
1728,5.2
1729,4.9
1730,1.7
1731,2.2
1732,1.6
1733,0.8
1734,0.5
1735,0.9
1736,1.3
1737,1.4
1738,2.6
1739,2.8
1740,2.3
1741,5.3
1742,5.3
1743,5.2
1744,5.2
1745,5.5
1746,4.3
1747,2.8
1748,5.1
1749,5.1
1750,5.1
1751,5.3
1752,4.3
1753,6.0
1754,5.0
1755,3.5
1756,3.8
1757,3.5
1758,3.5
1759,2.8
1760,3.0
1761,3.8
1762,4.5
1763,4.4
1764,5.1
1765,5.9
1766,4.7
1767,6.1
1768,6.1
1769,5.5
1770,5.3
1771,4.7
1772,4.3
1773,4.2
1774,4.1
1775,4.0
1776,3.9
1777,3.9
1778,3.8
1779,3.0
1780,1.7
1781,1.7
1782,1.9
1783,0.3
1784,1.8
1785,4.5
1786,5.5
1787,6.4
1788,7.0
1789,7.8
1790,8.2
1791,8.5
1792,8.7
1793,8.1
1794,7.9
1795,7.7
1796,7.5
1797,7.4
1798,7.4
1799,7.4
1800,7.6
1801,7.8
1802,7.8
1803,7.7
1804,7.9
1805,7.9
1806,8.1
1807,8.2
1808,8.0
1809,8.2
1810,8.5
1811,8.9
1812,9.4
1813,9.9
1814,10.0
1815,10.0
1816,10.2
1817,9.9
1818,9.8
1819,9.5
1820,9.3
1821,9.5
1822,9.5
1823,9.3
1824,8.6
1825,8.1
1826,8.2
1827,7.4
1828,7.2
1829,6.7
1830,4.1
1831,4.1
1832,5.3
1833,6.6
1834,7.8
1835,8.9
1836,9.8
1837,9.5
1838,9.7
1839,10.5
1840,11.0
1841,11.3
1842,10.7
1843,10.5
1844,10.3
1845,9.1
1846,9.9
1847,10.8
1848,9.7
1849,9.0
1850,9.0
1851,9.3
1852,8.0
1853,6.8
1854,6.1
1855,5.6
1856,6.0
1857,7.4
1858,8.2
1859,8.5
1860,9.2
1861,10.3
1862,10.5
1863,11.0
1864,10.4
1865,10.3
1866,9.8
1867,9.2
1868,8.7
1869,8.6
1870,8.2
1871,8.1
1872,8.8
1873,8.8
1874,8.8
1875,8.7
1876,8.5
1877,8.3
1878,8.3
1879,8.3
1880,8.5
1881,8.6
1882,9.2
1883,9.4
1884,9.2
1885,9.6
1886,9.6
1887,9.4
1888,9.5
1889,9.6
1890,9.8
1891,9.9
1892,9.9
1893,10.1
1894,10.0
1895,9.8
1896,9.6
1897,9.3
1898,9.4
1899,9.3
1900,9.3
1901,9.4
1902,9.6
1903,9.8
1904,9.6
1905,9.2
1906,9.5
1907,10.2
1908,5.9
1909,7.4
1910,7.8
1911,9.5
1912,8.8
1913,9.1
1914,8.9
1915,8.3
1916,8.4
1917,8.0
1918,7.8
1919,7.5
1920,6.8
1921,6.8
1922,6.8
1923,6.8
1924,6.5
1925,6.0
1926,5.1
1927,4.8
1928,5.6
1929,5.6
1930,5.6
1931,6.0
