Hour;T;N;NE;E;SE;S;SW;W;NW;Horizontal
334;-1.5;0;0;0;0;0;0;0;0;0
335;-1.8;0;0;0;0;0;0;0;0;0
336;-2.4;0;0;0;0;0;0;0;0;0
337;-2.7;0;0;0;0;0;0;0;0;0
338;-2.7;0;0;0;0;0;0;0;0;0
339;-2.8;0;0;0;0;0;0;0;0;0
340;-2.8;0;0;0;0;0;0;0;0;0
341;-3.4;0;0;0;0;0;0;0;0;0
342;-3.5;0;0;0;0;0;0;0;0;0
343;-3.9;0;0;0;0;0;0;0;0;0
344;-4;0;0;0;0;0;0;0;0;0
345;-4;0;0;0;0;0;0;0;0;0
346;-3.3;16.53246184;40.38098452;181.345165;225.7642992;147.6182607;16.53246184;16.53246184;16.53246184;47
347;-2.2;44.41999508;44.41999508;316.084444;472.824645;378.6112123;88.63309697;44.41999508;44.41999508;144
348;-1;53.28899621;53.28899621;356.6321644;711.2541396;680.4490574;282.2621171;53.28899621;53.28899621;233
349;0.2;56.18118841;56.18118841;219.9850884;730.8685173;846.5292593;499.2148203;56.18118841;56.18118841;281
350;0.8;55.53773872;55.53773872;55.53773872;600.7809652;866.7236439;657.484621;95.63327825;55.53773872;278
351;1.3;46.7629039;46.7629039;46.7629039;429.5007841;831.9857884;774.4978764;290.7126874;46.7629039;233
352;0.8;32.77355922;32.77355922;32.77355922;212.5156959;672.5970415;757.8784687;418.4032741;32.77355922;144
353;-0.1;9.39489607;9.39489607;9.39489607;14.50722479;224.3323413;308.2500174;217.1024167;9.39489607;47
354;-0.8;0;0;0;0;0;0;0;0;0
355;-1.4;0;0;0;0;0;0;0;0;0
356;-1.9;0;0;0;0;0;0;0;0;0
357;-2.1;0;0;0;0;0;0;0;0;0
358;-2.6;0;0;0;0;0;0;0;0;0
359;-3;0;0;0;0;0;0;0;0;0
360;-4.2;0;0;0;0;0;0;0;0;0
361;-4.1;0;0;0;0;0;0;0;0;0
362;-4.3;0;0;0;0;0;0;0;0;0
363;-4.3;0;0;0;0;0;0;0;0;0
364;-4.7;0;0;0;0;0;0;0;0;0
365;-4.9;0;0;0;0;0;0;0;0;0
366;-4.9;0;0;0;0;0;0;0;0;0
367;-4.9;0;0;0;0;0;0;0;0;0
368;-5.3;0;0;0;0;0;0;0;0;0
369;-6.2;0;0;0;0;0;0;0;0;0
370;-4.4;19.69899954;40.6426596;161.2015253;198.8701305;131.5827172;19.69899954;19.69899954;19.69899954;56
371;-2.4;40.53777001;40.53777001;423.5033745;642.6584922;509.099457;101.0633404;40.53777001;40.53777001;164
372;-0.5;52.57440253;52.57440253;378.1627026;755.9492538;721.7083565;295.497864;52.57440253;52.57440253;242
373;0.7;57.83622856;57.83622856;216.121379;704.6067277;814.2226897;480.7577212;57.83622856;57.83622856;278
374;1.4;55.80402089;55.80402089;55.80402089;588.1875496;846.6951711;641.9094831;93.79116438;55.80402089;275
